,SOI,window_size,up_z,low_z,1000_today,inc_per_share,avg_p_change,days_per_hold,trades_per_year,earnings_per_year
305,ms_adj,246.0,3.04,3.32,1564.59658379,14.1262037,0.564596583786,209.4,1.24172379865,0.592630860053
371,rcl_adj,53.0,3.16,2.26,1924.90156329,44.3993587,0.799581819837,560.75,0.467257341478,0.591680096229
16,aet_adj,100.0,2.86,2.32,2064.05893001,72.6722373,0.681040702589,376.85,0.839959652893,0.589944809027
445,uri_adj,218.0,3.04,2.5,1740.35028871,44.7509998,0.740350288707,450.9,0.659630916952,0.588218224039
137,dow_adj,246.0,2.86,2.56,1652.01612338,24.4634079,0.652016123377,367.4,0.708140630089,0.587177717616
153,eog_adj,290.0,2.36,2.7,1562.92655853,35.9946777,0.562926558526,215.3,1.29740217532,0.586755337353
63,biib_adj,212.0,2.4,2.6,1469.76837124,105.509979,0.469768371244,25.0,10.4,0.583230994064
206,hban_adj,286.0,3.04,3.32,1557.76798714,4.5766333,0.557767987141,216.1,1.2048280469,0.581645302717
322,noc_adj,38.0,3.38,2.66,1762.64191436,95.4559897,0.762641914355,483.8,0.567553408582,0.580611964674
179,fl_adj,107.0,2.82,2.48,1938.32212157,34.4495356,0.938322121565,581.7,0.93442849652,0.579179213765
233,intu_adj,32.0,3.4,2.78,2010.14856214,55.3091198,1.01014856214,800.6,0.333140954495,0.578953202204
121,dd_adj,256.0,2.36,2.94,1635.93991697,30.4374744,0.635939916972,366.3,0.710154995086,0.574551093253
483,yhoo_adj,261.0,2.28,2.44,1599.85456366,16.0089995,0.599854563659,299.1,1.07075718438,0.56888993065
62,bhi_adj,296.0,2.68,2.78,1550.1899226,21.8164406,0.550189922601,231.4,1.16147320782,0.568014160399
221,hrs_adj,188.0,3.02,2.36,1714.34884319,41.5634526,0.714348843189,482.0,0.566493080729,0.56787478593
440,ulta_adj,116.0,2.5,2.04,2021.98395523,120.6280034,0.506553081924,125.2,2.77799959877,0.567203426666
33,amp_adj,288.0,2.38,3.2,1552.62933124,43.0442959,0.552629331243,231.2,1.14054480697,0.565811351976
452,vlo_adj,254.0,2.1,2.42,1495.91045882,22.7143499,0.495910458823,116.2,2.24566753741,0.564898074568
49,awk_adj,78.0,3.28,2.3,1978.81847052,37.6711224,0.978818470517,777.5,0.378298349514,0.564437190825
22,ajg_adj,272.0,2.12,3.14,1574.47213014,20.6826503,0.574472130141,279.5,0.93033913219,0.564125145234
288,mco_adj,40.0,3.16,1.98,2147.24511513,62.7605534,1.14724511513,964.8,0.26948600821,0.56396889454
477,xlnx_adj,264.0,3.1,2.42,1744.05624358,25.5274176,0.744056243582,549.8,0.47289948667,0.563597116319
468,wmb_adj,82.0,2.46,3.24,1482.53714203,14.6590232,0.482537142032,107.3,4.75441176471,0.562097123013
115,ctxs_adj,206.0,3.32,2.06,1887.04476374,38.3436672,0.887044763743,735.0,0.363636211783,0.556016355422
254,kmx_adj,230.0,2.62,2.88,1699.78510771,27.6580018,0.537410334295,227.3,1.14824050984,0.553586541436
385,rtn_adj,120.0,3.28,2.38,1728.62795959,62.3101984,0.728627959595,551.7,0.482016390851,0.552431701374
482,yelp_adj,222.0,2.64,2.66,1555.90588013,13.9310008,0.555905880124,270.2,0.963534558677,0.550212592236
400,spgi_adj,243.0,2.68,2.4,1599.99626028,43.5042468,0.505965229936,159.05,1.83352145507,0.54921248698
131,dish_adj,270.0,1.96,3.24,1538.73524257,21.7230002,0.538735242573,239.4,1.09230872947,0.548272845029
460,wat_adj,224.0,3.14,2.04,1647.91805847,61.8239922,0.647918058474,449.2,0.578813537551,0.544567944012
448,v_adj,20.0,3.36,2.6,2088.38240763,47.1935999,1.04118880087,872.0,0.34032552553,0.543398701558
408,swk_adj,228.0,2.58,2.24,1559.37672133,49.345267,0.559376721332,303.0,0.858085808581,0.538318593097
0,a_adj,140.0,3.08,3.0,1580.23023929,19.8146286,0.580230239292,346.0,0.773410447211,0.538189021437
139,dri_adj,96.0,3.28,2.88,1687.04656347,30.1814325,0.68704656347,519.3,0.532068968307,0.537463794684
283,mas_adj,124.0,3.0,2.08,1999.60449257,16.2865652,0.534820748373,253.4,1.0588232196,0.537022090395
396,sni_adj,256.0,2.98,3.22,1592.94366027,30.0909782,0.592943660274,370.3,0.704564497115,0.535741606681
20,aiv_adj,206.0,2.42,2.26,1589.11319535,13.4577124,0.533621843166,251.95,1.03986360864,0.53494293698
110,csco_adj,232.0,2.7,3.32,1540.73956582,11.9575941,0.540739565821,274.1,0.948572583003,0.534038371031
23,akam_adj,270.0,2.4,2.84,1512.29654009,23.2890002,0.512296540086,214.0,1.22363397198,0.53339786034
126,dhi_adj,162.0,2.5,2.24,1545.34156546,11.78961,0.545341565459,260.5,1.65370877871,0.532904592365
275,luv_adj,84.0,2.9,2.04,702.732787886,-4.6388932,0.524902650138,226.983333333,1.54689323671,0.529148002486
390,shw_adj,60.0,3.32,2.48,2012.82816416,163.334374,1.01282816416,947.0,0.274551214361,0.528434041548
271,low_adj,62.0,3.26,2.36,1778.10549413,34.7019001,0.718240931769,549.5,0.566795498083,0.528363053534
241,jbht_adj,284.0,3.18,2.64,1512.99813181,33.5141131,0.512998131814,227.4,1.14348507137,0.527727170654
292,mhk_adj,209.0,2.82,3.02,1577.89576079,83.1830002,0.577895760786,333.4,0.90433145464,0.524642628665
457,vrtx_adj,175.0,3.22,2.22,1995.32850125,59.1530018,0.76207692534,673.45,0.416640136504,0.521591225987
101,cof_adj,268.0,3.24,3.34,1503.79423261,29.3448181,0.50379423261,219.4,1.18644111136,0.52152492185
294,mkc_adj,170.0,3.08,2.8,1687.09378978,41.0479922,0.687093789777,567.7,0.459459759923,0.519966299976
201,gs_adj,284.0,2.98,3.16,1494.05295777,70.2271107,0.494052957773,201.3,1.29719033863,0.519479931337
125,dgx_adj,56.0,3.14,3.22,1747.91138914,42.1820094,0.658035852347,516.35,0.542630346976,0.518063828596
